site,date,bommie.ID,quadrant,location,pre-treatment,post-treatment,change in BW (g),abs_change_DW,SA,GR (g/day),GR (mg/day)
MRB,"May 10, 2022",M3,1,sediment,13.834,14.535,0.701,1.077,50.224332,0.001072189472,1.072189472
MRB,"May 10, 2022",M3,1,bommie,17.172,18.361,1.189,1.826,53.1947,0.001716336402,1.716336402
MRB,"May 10, 2022",M3,2,sediment,16.187,16.651,0.464,0.713,34.40686,0.001036130586,1.036130586
MRB,"May 10, 2022",M3,2,bommie,11.423,12.232,0.809,1.243,34.637772,0.001794283997,1.794283997
MRB,"May 10, 2022",M3,3,sediment,14.784,14.413,-0.371,-0.57,32.93742,-0.0008652772439,-0.8652772439
MRB,"May 10, 2022",M3,3,bommie,9.544,9.666,0.122,0.187,22.241996,0.0004203759411,0.4203759411
MRB,"May 10, 2022",M3,4,sediment,11.666,NA,NA,NA,NA,#VALUE!,#VALUE!
MRB,"May 10, 2022",M3,4,bommie,13.86,13.54,-0.32,-0.492,34.480332,-0.0007134502069,-0.7134502069
MRB,"May 10, 2022",M4,1,sediment,19.904,15.443,-4.461,-6.853,38.101452,-0.008993095591,-8.993095591
MRB,"May 10, 2022",M4,1,bommie,15.402,16.525,1.123,1.725,30.397388,0.002837414846,2.837414846
MRB,"May 10, 2022",M4,2,sediment,15.172,15.954,0.782,1.201,32.979404,0.00182083339,1.82083339
MRB,"May 10, 2022",M4,2,bommie,14.285,11.148,-3.137,-4.819,26.408908,-0.009123815343,-9.123815343
MRB,"May 10, 2022",M4,3,sediment,12.424,13.168,0.744,1.143,19.701964,0.002900726039,2.900726039
MRB,"May 10, 2022",M4,3,bommie,12.512,9.984,-2.528,-3.883,30.061516,-0.006458423454,-6.458423454
MRB,"May 10, 2022",M4,4,sediment,17.923,14.637,-3.286,-5.048,35.45646,-0.007118589955,-7.118589955
MRB,"May 10, 2022",M4,4,bommie,22.849,18.494,-4.355,-6.69,56.689868,-0.005900525293,-5.900525293
MRB,"May 10, 2022",M5,1,sediment,9.561,6.341,-3.22,-4.946,24.939468,-0.009916009435,-9.916009435
MRB,"May 10, 2022",M5,1,bommie,14.39,10.819,-3.571,-5.486,42.48878,-0.006455821984,-6.455821984
MRB,"May 10, 2022",M5,2,sediment,10.764,7.538,-3.226,-4.956,35.540428,-0.00697234147,-6.97234147
MRB,"May 10, 2022",M5,2,bommie,19.224,13.323,-5.901,-9.065,45.889484,-0.009876990554,-9.876990554
MRB,"May 10, 2022",M5,3,sediment,13.694,8.235,-5.459,-8.386,31.814348,-0.01317958803,-13.17958803
MRB,"May 10, 2022",M5,3,bommie,16.682,12.584,-4.098,-6.295,38.174924,-0.008244941103,-8.244941103
MRB,"May 10, 2022",M5,4,sediment,15.977,12.392,-3.585,-5.507,44.000204,-0.006257925531,-6.257925531
MRB,"May 10, 2022",M5,4,bommie,10.646,7.532,-3.114,-4.784,27.133132,-0.00881579023,-8.81579023
East,"May 8, 2022",E1,1,sediment,17.774,22.259,4.485,6.89,47.253964,0.007290393669,7.290393669
East,"May 8, 2022",E1,1,bommie,11.728,15.489,3.761,5.777,34.910668,0.008273975164,8.273975164
East,"May 8, 2022",E1,2,sediment,18.782,23.769,4.987,7.661,41.659596,0.009194760314,9.194760314
East,"May 8, 2022",E1,2,bommie,8.574,10.619,2.045,3.141,30.638796,0.005125854162,5.125854162
East,"May 8, 2022",E1,3,sediment,9.954,13.13,3.176,4.879,30.491852,0.008000497969,8.000497969
East,"May 8, 2022",E1,3,bommie,8.415,10.912,2.497,3.836,24.246732,0.007910344371,7.910344371
East,"May 8, 2022",E1,4,sediment,10.967,14.821,3.854,5.92,36.002252,0.008221707909,8.221707909
East,"May 8, 2022",E1,4,bommie,7.848,10.467,2.619,4.023,23.417548,0.008589712296,8.589712296
East,"May 10, 2022",E2,1,bommie,9.279,6.617,-2.662,-4.089,31.342028,-0.006523189884,-6.523189884
East,"May 10, 2022",E2,1,sediment,10.129,6.674,-3.455,-5.307,25.359308,-0.0104636136,-10.4636136
East,"May 10, 2022",E2,2,sediment,9.463,7.107,-2.356,-3.619,23.365068,-0.007744467082,-7.744467082
East,"May 10, 2022",E2,2,bommie,12.2,8.828,-3.372,-5.18,33.714124,-0.007682240239,-7.682240239
East,"May 10, 2022",E2,3,sediment,11.169,8.715,-2.454,-3.77,23.134156,-0.008148125222,-8.148125222
East,"May 10, 2022",E2,3,bommie,11.026,NA,NA,NA,NA,#VALUE!,#VALUE!
East,"May 10, 2022",E2,4,sediment,11.966,NA,NA,NA,NA,#VALUE!,#VALUE!
East,"May 10, 2022",E2,4,bommie,13.566,9.749,-3.817,-5.863,41.70158,-0.007029709666,-7.029709666
East,"May 10, 2022",E3,1,sediment,13.699,10.579,-3.12,-4.793,25.9051,-0.009251074113,-9.251074113
East,"May 10, 2022",E3,1,bommie,10.978,8.745,-2.233,-3.43,30.722764,-0.005582180041,-5.582180041
East,"May 10, 2022",E3,2,sediment,14.743,11.284,-3.459,-5.313,34.364876,-0.007730276693,-7.730276693
East,"May 10, 2022",E3,2,bommie,13.003,10.42,-2.583,-3.968,39.318988,-0.005045908099,-5.045908099
East,"May 10, 2022",E3,3,sediment,11.603,8.902,-2.701,-4.149,26.629324,-0.007790284124,-7.790284124
East,"May 10, 2022",E3,3,bommie,11.054,8.582,-2.472,-3.797,25.054924,-0.007577352859,-7.577352859
East,"May 10, 2022",E3,4,sediment,8.052,NA,NA,NA,NA,#VALUE!,#VALUE!
East,"May 10, 2022",E3,4,bommie,10.521,7.41,-3.111,-4.779,18.851788,-0.01267519028,-12.67519028
East,"May 10, 2022",E4,1,sediment,13.313,13.605,0.292,0.449,34.690252,0.0006471558638,0.6471558638
East,"May 10, 2022",E4,1,bommie,12.575,12.216,-0.359,-0.551,23.721932,-0.001161372522,-1.161372522
East,"May 10, 2022",E4,2,sediment,10.217,10.181,-0.036,-0.055,25.023436,-0.0001098969782,-0.1098969782
East,"May 10, 2022",E4,2,bommie,15.467,15.432,-0.035,-0.054,28.697036,-0.00009408637185,-0.09408637185
East,"May 10, 2022",E4,3,sediment,11.858,13.131,1.273,1.955,34.98414,0.00279412328,2.79412328
East,"May 10, 2022",E4,3,bommie,12.948,12.991,0.043,0.066,25.6427,0.0001286915964,0.1286915964
East,"May 10, 2022",E4,4,sediment,13.011,11.707,-1.304,-2.003,23.763916,-0.004214372749,-4.214372749
East,"May 10, 2022",E4,4,bommie,12.778,12.734,-0.044,-0.068,31.4155,-0.0001082268307,-0.1082268307
