site,site.code,bommie ID,quadrant,location,treatment,date deployed,pre-treatment weight,post-treatment weight,proportion from control,correction,corrected pre-treatment weight,difference final,rate dissolution
West,3,W4,2,sediment,right,"April 9, 2022",31.106,24.926,0.03703119082,1.151892222,29.95410778,5.028107778,0.2095044908
West,3,W4,2,bommie,right,"April 9, 2022",28.151,19.441,0.03703119082,1.042465053,27.10853495,7.667534947,0.3194806228
West,3,W4,3,sediment,upstream,"April 9, 2022",27.431,22.805,0.03703119082,1.015802595,26.4151974,3.610197405,0.1504248919
West,3,W4,3,bommie,upstream,"April 9, 2022",28.756,20.949,0.03703119082,1.064868923,27.69113108,6.742131077,0.2809221282
West,3,W4,4,sediment,left,"April 9, 2022",29.312,23.565,0.03703119082,1.085458265,28.22654173,4.661541735,0.1942309056
West,3,W4,4,bommie,left,"April 9, 2022",28.776,22.229,0.03703119082,1.065609547,27.71039045,5.481390453,0.2283912689
West,3,W5,1,sediment,right,"April 9, 2022",25.075,15.37,0.03703119082,0.9285571099,24.14644289,8.77644289,0.3656851204
West,3,W5,2,sediment,upstream,"April 9, 2022",24.118,19.769,0.03703119082,0.8931182603,23.22488174,3.45588174,0.1439950725
West,3,W5,2,bommie,upstream,"April 9, 2022",28.172,16.918,0.03703119082,1.043242708,27.12875729,10.21075729,0.4254482205
West,3,W5,3,sediment,left,"April 9, 2022",26.044,17.129,0.03703119082,0.9644403338,25.07955967,7.950559666,0.3312733194
West,3,W5,3,bommie,left,"April 9, 2022",26.03,13.837,0.03703119082,0.9639218971,25.0660781,11.2290781,0.4678782543
West,3,W5,4,sediment,downstream,"April 9, 2022",26.951,19.994,0.03703119082,0.9980276239,25.95297238,5.958972376,0.2482905157
West,3,W5,4,bommie,downstream,"April 9, 2022",26.079,17.315,0.03703119082,0.9657364255,25.11326357,7.798263575,0.3249276489
